iter	Passed	Remaining
881	54741	131453
882	54795	131373
883	54850	131293
884	54917	131244
885	54979	131181
886	55038	131111
887	55100	131049
888	55170	131007
889	55229	130937
890	55283	130855
891	55354	130815
892	55427	130780
893	55479	130693
894	55550	130653
895	55600	130562
896	55669	130516
897	55733	130459
898	55799	130406
899	55858	130335
900	55923	130281
901	55982	130211
902	56055	130176
903	56106	130087
904	56164	130016
905	56225	129951
906	56293	129904
907	56354	129838
908	56430	129808
909	56506	129778
910	56589	129763
911	56658	129718
912	56727	129671
913	56802	129638
914	56855	129556
915	56907	129471
916	56956	129378
917	57022	129326
918	57079	129252
919	57148	129205
920	57214	129153
921	57275	129087
922	57328	129004
923	57374	128906
924	57439	128851
925	57514	128816
926	57577	128758
927	57641	128699
928	57708	128648
929	57766	128578
930	57818	128493
931	57875	128420
932	57929	128339
933	57987	128268
934	58033	128169
935	58094	128106
936	58163	128059
937	58219	127983
938	58282	127922
939	58344	127861
940	58389	127761
941	58445	127685
942	58521	127654
943	58570	127564
944	58633	127504
945	58694	127441
946	58751	127366
947	58798	127272
948	58869	127229
949	58932	127169
950	59000	127120
951	59071	127078
952	59143	127037
953	59193	126949
954	59256	126890
955	59326	126845
956	59378	126761
957	59428	126673
958	59480	126589
959	59549	126541
960	59608	126473
961	59671	126413
962	59735	126356
963	59796	126292
964	59845	126202
965	59907	126141
966	59984	126109
967	60047	126050
968	60102	125973
969	60160	125903
970	60211	125817
971	60272	125753
972	60330	125682
973	60395	125628
974	60452	125555
975	60501	125466
976	60569	125417
977	60631	125354
978	60676	125256
979	60727	125173
980	60771	125073
981	60841	125027
982	60895	124949
983	60966	124907
984	61034	124857
985	61090	124783
986	61148	124713
987	61198	124626
988	61277	124599
989	61351	124562
990	61405	124484
991	61461	124409
992	61532	124366
993	61587	124290
994	61645	124220
995	61716	124177
996	61778	124115
997	61846	124064
998	61911	124007
999	61971	123943
1000	62046	123906
1001	62115	123858
1002	62184	123810
1003	62254	123764
1004	62302	123675
1005	62364	123612
1006	62428	123555
1007	62482	123477
1008	62553	123434
1009	62615	123371
1010	62669	123294
1011	62723	123215
1012	62777	123137
1013	62845	123087
1014	62897	123006
1015	62969	122963
1016	63028	122896
1017	63103	122859
1018	63162	122792
1019	63223	122728
1020	63290	122676
1021	63354	122617
1022	63418	122558
1023	63474	122485
1024	63544	122438
1025	63593	122352
1026	63652	122285
1027	63706	122207
1028	63750	122111
1029	63817	122057
1030	63886	122009
1031	63949	121950
1032	64007	121880
1033	64075	121831
1034	64145	121783
1035	64225	121755
1036	64281	121683
1037	64359	121649
1038	64419	121584
1039	64480	121521
1040	64531	121438
1041	64598	121386
1042	64650	121305
1043	64701	121222
1044	64756	121146
1045	64808	121067
1046	64865	120996
1047	64922	120923
1048	64995	120883
1049	65061	120829
1050	65121	120762
1051	65175	120685
1052	65245	120639
1053	65310	120582
1054	65366	120509
1055	65434	120459
1056	65496	120396
1057	65551	120321
1058	65609	120252
1059	65667	120183
1060	65730	120124
1061	65798	120072
1062	65850	119992
1063	65899	119907
1064	65971	119863
1065	66035	119805
1066	66103	119755
1067	66180	119720
1068	66247	119666
1069	66307	119601
1070	66371	119543
1071	66429	119473
1072	66499	119425
1073	66564	119370
1074	66629	119313
1075	66683	119237
1076	66745	119174
1077	66806	119110
1078	66870	119052
1079	66924	118977
1080	66970	118886
1081	67023	118808
1082	67079	118736
1083	67134	118661
1084	67185	118581
1085	67240	118505
1086	67307	118453
1087	67368	118390
1088	67433	118334
1089	67501	118282
1090	67557	118209
1091	67612	118135
1092	67669	118065
1093	67726	117994
1094	67781	117920
1095	67852	117875
1096	67922	117827
1097	67993	117781
1098	68052	117713
1099	68112	117648
1100	68180	117597
1101	68243	117537
1102	68299	117464
1103	68354	117391
1104	68407	117314
1105	68476	117264
1106	68532	117192
1107	68593	117129
1108	68646	117051
1109	68727	117021
1110	68790	116962
1111	68844	116886
1112	68920	116849
1113	69003	116823
1114	69068	116766
1115	69142	116725
1116	69200	116655
1117	69257	116586
1118	69313	116513
1119	69371	116445
1120	69436	116388
1121	69494	116320
1122	69544	116237
1123	69606	116176
1124	69661	116101
1125	69716	116028
1126	69772	115957
1127	69835	115897
1128	69888	115821
1129	69963	115780
1130	70022	115712
1131	70077	115640
1132	70145	115588
1133	70219	115546
1134	70273	115470
1135	70326	115394
1136	70391	115338
1137	70451	115272
1138	70515	115215
1139	70574	115148
1140	70644	115099
1141	70698	115024
1142	70758	114959
1143	70817	114893
1144	70872	114820
1145	70926	114745
1146	70986	114679
1147	71050	114620
1148	71105	114547
1149	71155	114466
1150	71214	114401
1151	71278	114341
1152	71337	114276
1153	71396	114208
1154	71466	114161
1155	71528	114098
1156	71586	114030
1157	71634	113947
1158	71680	113859
1159	71753	113815
1160	71799	113728
1161	71863	113670
1162	71911	113586
1163	71952	113491
1164	72010	113424
1165	72066	113353
1166	72117	113274
1167	72179	113212
1168	72230	113133
1169	72288	113066
1170	72363	113025
1171	72415	112949
1172	72480	112891
1173	72547	112837
1174	72600	112763
1175	72668	112710
1176	72732	112651
1177	72792	112586
1178	72857	112530
1179	72915	112463
1180	72992	112423
1181	73056	112365
1182	73107	112287
1183	73173	112232
1184	73242	112182
1185	73305	112121
1186	73363	112054
1187	73425	111991
1188	73482	111923
1189	73547	111866
1190	73599	111790
1191	73657	111721
1192	73728	111674
1193	73775	111589
1194	73833	111523
1195	73890	111453
1196	73947	111384
1197	74013	111328
1198	74069	111258
1199	74128	111192
1200	74188	111128
1201	74240	111051
1202	74293	110977
1203	74365	110931
1204	74436	110882
1205	74495	110816
1206	74552	110748
1207	74609	110679
1208	74675	110622
1209	74726	110545
1210	74796	110495
1211	74849	110421
1212	74911	110360
1213	74980	110309
1214	75035	110237
1215	75108	110192
1216	75168	110128
1217	75226	110060
1218	75300	110016
1219	75354	109943
1220	75416	109881
1221	75473	109813
1222	75534	109750
1223	75591	109681
1224	75639	109599
1225	75696	109531
1226	75760	109473
1227	75813	109398
1228	75879	109343
1229	75959	109307
1230	76021	109246
1231	76075	109173
1232	76128	109099
1233	76190	109037
1234	76259	108985
1235	76321	108925
1236	76374	108850
1237	76434	108786
1238	76494	108721
1239	76559	108665
1240	76613	108592
1241	76686	108546
1242	76748	108485
1243	76819	108436
1244	76877	108369
1245	76935	108301
1246	77001	108246
1247	77064	108186
1248	77132	108134
1249	77192	108069
1250	77248	107999
1251	77314	107943
1252	77386	107896
1253	77442	107826
1254	77507	107768
1255	77568	107706
1256	77620	107630
1257	77676	107561
1258	77748	107513
1259	77803	107442
1260	77868	107386
1261	77937	107333
1262	78002	107276
1263	78067	107219
1264	78138	107170
1265	78199	107107
1266	78254	107035
1267	78328	106990
1268	78400	106943
1269	78462	106882
1270	78535	106835
1271	78589	106763
1272	78658	106711
1273	78724	106654
1274	78779	106583
1275	78843	106524
1276	78903	106461
1277	78954	106384
1278	79008	106311
1279	79070	106250
1280	79136	106195
1281	79198	106133
1282	79258	106069
1283	79333	106024
1284	79394	105962
1285	79465	105912
1286	79523	105845
1287	79589	105789
1288	79660	105740
1289	79703	105653
1290	79773	105602
1291	79839	105546
1292	79903	105487
1293	79978	105442
1294	80025	105362
1295	80090	105304
1296	80144	105232
1297	80214	105181
1298	80278	105121
1299	80337	105056
1300	80384	104975
1301	80428	104891
1302	80497	104837
1303	80553	104768
1304	80610	104701
1305	80681	104651
1306	80742	104588
1307	80791	104509
1308	80851	104445
1309	80905	104374
1310	80966	104311
1311	81029	104250
1312	81089	104187
1313	81152	104126
1314	81213	104064
1315	81268	103994
1316	81322	103922
1317	81408	103891
1318	81463	103821
1319	81536	103773
1320	81607	103723
1321	81666	103657
1322	81731	103601
1323	81803	103551
1324	81856	103478
1325	81922	103423
1326	81983	103359
1327	82043	103295
1328	82096	103222
1329	82155	103157
1330	82206	103082
1331	82270	103023
1332	82325	102953
1333	82389	102894
1334	82446	102826
1335	82498	102752
1336	82557	102687
1337	82616	102622
1338	82685	102569
1339	82742	102501
1340	82797	102432
1341	82857	102368
1342	82930	102320
1343	82999	102267
1344	83057	102200
1345	83113	102131
1346	83166	102059
1347	83227	101996
1348	83281	101925
1349	83340	101860
1350	83396	101792
1351	83448	101718
1352	83501	101646
1353	83567	101589
1354	83620	101517
1355	83675	101447
1356	83742	101392
1357	83788	101311
1358	83856	101256
1359	83918	101196
1360	83989	101144
1361	84052	101085
1362	84119	101029
1363	84191	100980
1364	84264	100932
1365	84322	100866
1366	84392	100814
1367	84453	100752
1368	84515	100690
1369	84568	100617
1370	84636	100563
1371	84710	100516
1372	84755	100435
1373	84813	100369
1374	84858	100287
1375	84925	100231
1376	84978	100159
1377	85032	100088
1378	85104	100039
1379	85171	99983
1380	85248	99939
1381	85300	99867
1382	85366	99810
1383	85428	99748
1384	85487	99683
1385	85551	99624
1386	85623	99574
1387	85683	99511
1388	85736	99439
1389	85803	99384
1390	85872	99330
1391	85931	99265
1392	86003	99216
1393	86071	99160
1394	86141	99109
1395	86196	99039
1396	86252	98971
1397	86316	98912
1398	86383	98856
1399	86455	98806
1400	86518	98745
1401	86574	98677
1402	86640	98620
1403	86690	98545
1404	86748	98479
1405	86807	98414
1406	86858	98340
1407	86926	98286
1408	86993	98230
1409	87053	98167
1410	87108	98097
1411	87179	98045
1412	87232	97973
1413	87277	97894
1414	87332	97824
1415	87395	97764
1416	87455	97700
1417	87522	97645
1418	87590	97589
1419	87662	97539
1420	87719	97472
1421	87782	97412
1422	87850	97357
1423	87903	97286
1424	87965	97225
1425	88035	97172
1426	88092	97105
1427	88145	97033
1428	88209	96974
1429	88271	96913
1430	88346	96866
1431	88401	96796
1432	88460	96732
1433	88527	96676
1434	88591	96617
1435	88644	96546
1436	88709	96487
1437	88768	96422
1438	88824	96354
1439	88878	96284
1440	88930	96212
1441	88990	96149
1442	89067	96104
1443	89123	96036
1444	89172	95960
1445	89230	95895
1446	89293	95834
1447	89361	95779
1448	89417	95711
1449	89483	95654
1450	89560	95609
1451	89635	95561
1452	89720	95525
1453	89807	95490
1454	89879	95439
1455	89943	95379
1456	89999	95311
1457	90066	95255
1458	90119	95184
1459	90171	95112
1460	90238	95056
1461	90295	94989
1462	90356	94926
1463	90412	94859
1464	90487	94811
1465	90554	94755
1466	90623	94700
1467	90691	94645
1468	90740	94569
1469	90789	94495
1470	90846	94428
1471	90902	94360
1472	90967	94302
1473	91022	94233
1474	91075	94163
1475	91143	94107
1476	91204	94045
1477	91275	93992
1478	91323	93916
1479	91382	93852
1480	91445	93792
1481	91515	93738
1482	91568	93668
1483	91621	93597
1484	91681	93533
1485	91737	93466
1486	91814	93420
1487	91876	93358
1488	91940	93299
1489	92004	93238
1490	92053	93164
1491	92125	93113
1492	92187	93052
1493	92253	92994
1494	92322	92940
1495	92395	92889
1496	92456	92827
1497	92518	92765
1498	92593	92717
1499	92642	92642
1500	92703	92580
1501	92771	92524
1502	92838	92467
1503	92916	92422
1504	92983	92365
1505	93038	92297
1506	93090	92225
1507	93142	92154
1508	93212	92101
1509	93278	92042
1510	93339	91980
1511	93399	91916
1512	93457	91851
1513	93514	91785
1514	93578	91725
1515	93651	91674
1516	93708	91608
1517	93766	91542
1518	93813	91466
1519	93880	91410
1520	93946	91352
1521	93996	91279
1522	94049	91208
1523	94109	91145
1524	94160	91073
1525	94220	91009
1526	94288	90954
1527	94350	90892
1528	94415	90833
1529	94472	90767
1530	94540	90711
1531	94583	90632
1532	94668	90592
1533	94725	90526
1534	94797	90474
1535	94864	90417
1536	94927	90357
1537	94984	90291
1538	95037	90220
1539	95108	90168
1540	95173	90108
1541	95231	90043
1542	95285	89974
1543	95342	89908
1544	95404	89846
1545	95457	89777
1546	95528	89723
1547	95593	89665
1548	95658	89606
1549	95727	89551
1550	95790	89490
1551	95844	89422
1552	95906	89360
1553	95982	89312
1554	96041	89247
1555	96112	89194
1556	96169	89127
1557	96224	89059
1558	96296	89007
1559	96374	88961
1560	96429	88893
1561	96481	88821
1562	96527	88745
1563	96587	88682
1564	96645	88617
1565	96709	88558
1566	96767	88492
1567	96830	88431
1568	96888	88366
1569	96949	88304
1570	97010	88242
1571	97071	88179
1572	97127	88112
1573	97197	88058
1574	97249	87987
1575	97306	87921
1576	97374	87865
1577	97426	87795
1578	97488	87733
1579	97548	87669
1580	97608	87606
1581	97668	87543
1582	97729	87481
1583	97789	87418
1584	97849	87354
1585	97910	87291
1586	97981	87238
1587	98034	87168
1588	98101	87111
1589	98166	87053
1590	98233	86996
1591	98282	86923
1592	98347	86864
1593	98417	86810
1594	98487	86755
1595	98533	86679
1596	98590	86614
1597	98653	86553
1598	98721	86496
1599	98775	86428
1600	98837	86366
1601	98890	86297
1602	98947	86232
1603	99012	86172
1604	99074	86111
1605	99143	86056
1606	99216	86003
1607	99281	85944
1608	99348	85887
1609	99414	85829
1610	99475	85767
1611	99529	85699
1612	99581	85628
1613	99645	85569
1614	99713	85512
1615	99773	85449
1616	99840	85392
1617	99902	85331
1618	99955	85261
1619	100017	85200
1620	100081	85140
1621	100143	85078
1622	100218	85028
1623	100283	84969
1624	100332	84897
1625	100397	84837
1626	100453	84771
1627	100517	84711
1628	100582	84652
1629	100645	84591
1630	100708	84530
1631	100774	84472
1632	100833	84408
1633	100893	84345
1634	100953	84281
1635	101025	84229
1636	101094	84173
1637	101156	84111
1638	101228	84058
1639	101294	84000
1640	101363	83944
1641	101421	83879
1642	101489	83822
1643	101547	83758
1644	101599	83688
1645	101655	83621
1646	101717	83560
1647	101779	83498
1648	101844	83439
1649	101894	83368
1650	101965	83314
1651	102032	83256
1652	102091	83192
1653	102145	83124
1654	102214	83068
1655	102266	82999
1656	102330	82939
1657	102407	82889
1658	102471	82829
1659	102527	82763
1660	102597	82707
1661	102656	82643
1662	102713	82578
1663	102780	82520
